doc_id,lemma,n
English Short Stories for Intermediate Learners-11,the,7
English Short Stories for Intermediate Learners-11,i,6
English Short Stories for Intermediate Learners-11,a,5
English Short Stories for Intermediate Learners-11,culture,5
English Short Stories for Intermediate Learners-11,in,5
English Short Stories for Intermediate Learners-11,american,4
English Short Stories for Intermediate Learners-11,and,4
English Short Stories for Intermediate Learners-11,ask,4
English Short Stories for Intermediate Learners-11,that,4
English Short Stories for Intermediate Learners-11,be,3
English Short Stories for Intermediate Learners-11,do,3
English Short Stories for Intermediate Learners-11,have,3
English Short Stories for Intermediate Learners-11,mean,3
English Short Stories for Intermediate Learners-11,say,3
English Short Stories for Intermediate Learners-11,also,2
English Short Stories for Intermediate Learners-11,behavior,2
English Short Stories for Intermediate Learners-11,can,2
English Short Stories for Intermediate Learners-11,include,2
English Short Stories for Intermediate Learners-11,it,2
English Short Stories for Intermediate Learners-11,or,2
English Short Stories for Intermediate Learners-12,he,7
English Short Stories for Intermediate Learners-12,the,7
English Short Stories for Intermediate Learners-12,doctor,5
English Short Stories for Intermediate Learners-12,marc,5
English Short Stories for Intermediate Learners-12,a,4
English Short Stories for Intermediate Learners-12,be,4
English Short Stories for Intermediate Learners-12,my,4
English Short Stories for Intermediate Learners-12,and,3
English Short Stories for Intermediate Learners-12,brother,3
English Short Stories for Intermediate Learners-12,food,3
English Short Stories for Intermediate Learners-12,have,3
English Short Stories for Intermediate Learners-12,poisoning,3
English Short Stories for Intermediate Learners-12,also,2
English Short Stories for Intermediate Learners-12,bed,2
English Short Stories for Intermediate Learners-12,day,2
English Short Stories for Intermediate Learners-12,feel,2
English Short Stories for Intermediate Learners-12,in,2
English Short Stories for Intermediate Learners-12,that,2
English Short Stories for Intermediate Learners-12,to,2
English Short Stories for Intermediate Learners-12,3,1
English Short Stories for Intermediate Learners-14,the,12
English Short Stories for Intermediate Learners-14,she,9
English Short Stories for Intermediate Learners-14,do,7
English Short Stories for Intermediate Learners-14,doctor,6
English Short Stories for Intermediate Learners-14,a,5
English Short Stories for Intermediate Learners-14,and,5
English Short Stories for Intermediate Learners-14,for,4
English Short Stories for Intermediate Learners-14,that,4
English Short Stories for Intermediate Learners-14,to,4
English Short Stories for Intermediate Learners-14,have,3
English Short Stories for Intermediate Learners-14,headache,3
English Short Stories for Intermediate Learners-14,pill,3
English Short Stories for Intermediate Learners-14,woman,3
English Short Stories for Intermediate Learners-14,'s,2
English Short Stories for Intermediate Learners-14,activity,2
English Short Stories for Intermediate Learners-14,after,2
English Short Stories for Intermediate Learners-14,be,2
English Short Stories for Intermediate Learners-14,day,2
English Short Stories for Intermediate Learners-14,go,2
English Short Stories for Intermediate Learners-14,headach,2
English Short Stories for Intermediate Learners-18,i,12
English Short Stories for Intermediate Learners-18,be,11
English Short Stories for Intermediate Learners-18,to,7
English Short Stories for Intermediate Learners-18,and,6
English Short Stories for Intermediate Learners-18,the,6
English Short Stories for Intermediate Learners-18,travel,5
English Short Stories for Intermediate Learners-18,country,4
English Short Stories for Intermediate Learners-18,in,4
English Short Stories for Intermediate Learners-18,a,3
English Short Stories for Intermediate Learners-18,but,3
English Short Stories for Intermediate Learners-18,different,3
English Short Stories for Intermediate Learners-18,that,3
English Short Stories for Intermediate Learners-18,always,2
English Short Stories for Intermediate Learners-18,can,2
English Short Stories for Intermediate Learners-18,culture,2
English Short Stories for Intermediate Learners-18,educate,2
English Short Stories for Intermediate Learners-18,especially,2
English Short Stories for Intermediate Learners-18,feel,2
English Short Stories for Intermediate Learners-18,for,2
English Short Stories for Intermediate Learners-18,get,2
English Short Stories for Intermediate Learners-29,the,9
English Short Stories for Intermediate Learners-29,be,8
English Short Stories for Intermediate Learners-29,old,8
English Short Stories for Intermediate Learners-29,people,8
English Short Stories for Intermediate Learners-29,shirt,7
English Short Stories for Intermediate Learners-29,not,6
English Short Stories for Intermediate Learners-29,smell,6
