lemma,n
the,174
be,138
a,111
and,100
to,81
i,76
in,59
we,59
have,48
of,48
you,42
my,31
that,31
as,25
do,25
not,25
he,24
it,24
but,23
for,23
with,23
can,21
at,19
they,19
this,19
also,18
more,18
she,18
will,17
most,16
on,15
doctor,14
ask,13
people,13
there,13
culture,12
family,12
from,12
one,12
story,12
when,12
all,11
take,11
time,11
since,10
so,10
then,10
clean,9
country,9
day,9
english,9
get,9
house,9
live,9
no,9
old,9
shirt,9
some,9
what,9
bicycle,8
customer,8
every,8
like,8
make,8
many,8
new,8
say,8
usually,8
about,7
help,7
just,7
little,7
or,7
probably,7
save,7
still,7
tourist,7
very,7
waiter,7
want,7
well,7
would,7
american,6
become,6
by,6
come,6
could,6
different,6
feel,6
friend,6
need,6
ride,6
smell,6
than,6
travel,6
tv,6
week,6
's,5
after,5
alcohol,5
already,5
always,5
child,5
city,5
each,5
even,5
everything,5
find,5
learn,5
lot,5
marc,5
mexico,5
money,5
move,5
once,5
over,5
something,5
speak,5
stop,5
tour,5
until,5
visit,5
way,5
where,5
why,5
alcoholic,4
apartment,4
big,4
book,4
british,4
brother,4
buy,4
cable,4
call,4
carlos,4
coffin,4
dialogue,4
dollar,4
especially,4
finish,4
first,4
food,4
go,4
headache,4
how,4
know,4
last,4
life,4
look,4
meet,4
often,4
only,4
ourselves,4
pack,4
rather,4
read,4
restaurant,4
see,4
up,4
vocabulary,4
which,4
word,4
year,4
young,4
accident,3
alone,3
back,3
beginner,3
behavior,3
bill,3
britain,3
carefully,3
carry,3
channel,3
comfortable,3
common,3
course,3
dead,3
destination,3
difficult,3
drink,3
drive,3
education,3
end,3
european,3
funeral,3
furniture,3
future,3
gas,3
good,3
group,3
guide,3
here,3
however,3
if,3
include,3
into,3
john,3
late,3
list,3
london,3
longer,3
mean,3
meeting,3
morning,3
much,3
myself,3
night,3
now,3
offer,3
out,3
own,3
parent,3
pill,3
place,3
plan,3
poisoning,3
popular,3
prescribe,3
question,3
quite,3
reason,3
reply,3
right,3
seem,3
sleep,3
small,3
someone,3
start,3
state,3
stay,3
such,3
taxi,3
these,3
think,3
understand,3
via,3
watch,3
water,3
who,3
whole,3
without,3
woman,3
wrong,3
9,2
activity,2
afternoon,2
agree,2
airport,2
although,2
americans,2
amount,2
another,2
anyway,2
around,2
arrive,2
beach,2
bear,2
because,2
bed,2
before,2
beneficial,2
best,2
bike,2
both,2
box,2
brain,2
bring,2
care,2
cheaper,2
company,2
connect,2
contain,2
countryside,2
cut,2
daily,2
damage,2
die,2
dream,2
driver,2
early,2
easy,2
educate,2
effectively,2
eleven,2
england,2
enough,2
everybody,2
everyone,2
examine,2
experiment,2
explore,2
father,2
finally,2
flight,2
floor,2
follow,2
foreign,2
foreigners,2
france,2
free,2
function,2
further,2
gabi,2
garage,2
general,2
give,2
grocery,2
happen,2
headach,2
himself,2
home,2
hospital,2
hundred,2
hurt,2
husband,2
instance,2
international,2
item,2
kid,2
kitchen,2
large,2
less,2
man,2
menus,2
meyer,2
middle,2
million,2
mineral,2
minute,2
mrs.,2
name,2
neighbor,2
next,2
nothing,2
order,2
other,2
outside,2
pace,2
part,2
pay,2
per,2
perhaps,2
play,2
prepare,2
raise,2
really,2
room,2
rotten,2
rule,2
salad,2
sandra,2
schnitzel,2
seat,2
several,2
shopping,2
side,2
sightseeing,2
simply,2
sit,2
sometimes,2
spend,2
sport,2
stress,2
student,2
suitcase,2
supermarket,2
suppose,2
table,2
tablet,2
technology,2
teenager,2
tell,2
tenant,2
term,2
those,2
thought,2
tip,2
today,2
together,2
too,2
treat,2
